time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
182900,2026-06-24 10:57:19,12.8566547921456,100.973109462191,0,Available with any HD 360 subscription,Available with any HD 360 subscription,120.26397957023,0.656168,0,0,0,26,5,0,120.26397957023,0,0,0,0,0,0,301.8, 0.9, 1.9,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0,103.46,120.26397957023,0,41,Motors_Started,"Flying over unknown terrain. No SD card. Insert card (Code: 10022)"
183000,2026-06-24 10:57:19,12.8566547911636,100.973109458685,0,,,120.26397957023,0.656168,0,0.00129757878168,0.00129757878168,26,5,0,120.26397957023,0,0,0.00129757878168,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0,103.46,120.26397957023,0,41,Motors_Started,
183100,2026-06-24 10:57:20,12.8566547887959,100.973109456616,0,,,120.26397957023,0.328084,0,0.00232955716116,0.0024325296054,26,5,0,120.26397957023,0,0,0.00232955716116,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0,103.46,120.26397957023,0,41,Motors_Started,
183200,2026-06-24 10:57:20,12.8566547865405,100.973109455271,0,,,120.26397957023,0.328084,0,0.00320013461684,0.0033842848852,26,5,8.435,120.26397957023,0,0,0.00320013461684,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,
183300,2026-06-24 10:57:20,12.8566547893626,100.973109466203,0,,,120.26397957023,0.328084,0,0.00175126646024,0.0074066275336,26,5,8.435,120.26397957023,0,0,0.00320013461684,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,
183400,2026-06-24 10:57:20,12.8566547434323,100.973109511136,0,,,120.26397957023,0.328084,0,0.0248793971216,0.0305642398232,26,5,8.435,120.26397957023,0,0,0.0248793971216,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,
183500,2026-06-24 10:57:20,12.8566546897246,100.973109563074,0,,,120.26397957023,0.328084,0,0.05180774444,0.05749508058,26,5,8.435,120.26397957023,0,0,0.05180774444,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 10. Setting new Maximum Flight Altitude to 120m (394 ft)"
183600,2026-06-24 10:57:20,12.8566546717303,100.973109580002,0,,,120.26397957023,0.328084,0,3.09672910172,0.066403545432,26,5,8.435,120.26397957023,0,0,3.09672910172,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,
183700,2026-06-24 10:57:20,12.8566546537018,100.97310959676,0,,,120.26397957023,0.328084,0,3.09625009908,0.075280186136,26,5,8.435,120.26397957023,0,0,3.09672910172,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,
183800,2026-06-24 10:57:20,12.8566545789692,100.973109675287,0,,,120.26397957023,0.328084,0,3.09206702808,0.11431430812,26,5,8.435,120.26397957023,0,0,3.09672910172,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,
183900,2026-06-24 10:57:20,12.8566545800912,100.973109673354,0,,,120.26397957023,0.328084,0,3.09233277612,0.115114504996,26,5,8.435,120.26397957023,0,0,3.09672910172,0,0,0,301.8, 0.8, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,41,Motors_Started,
184000,2026-06-24 10:57:20,12.8566545755674,100.973109676478,0,,,120.26397957023,0.328084,0,3.09253946904,0.117104334456,26,5,8.435,120.26397957023,0,0,3.09672910172,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,11,AutoTakeoff,
184100,2026-06-24 10:57:21,12.8566545880348,100.973109664101,0,,,120.26397957023,0.328084,0,3.09300206748,0.123434715236,26,5,8.435,120.26397957023,0,0,3.09672910172,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.222,4.214,0,0,0,0,0.582,103.46,120.26397957023,0,11,AutoTakeoff,
184200,2026-06-24 10:57:21,12.8566546585024,100.973109605046,0,,,120.26397957023,0.328084,0,3.09286099136,0.156634847532,26,5,8.408,120.26397957023,0,0,3.09672910172,0,0,0,301.8, 0.9, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.207,4.198,0,0,0,0,1.296,103.46,120.26397957023,0,11,AutoTakeoff,
184300,2026-06-24 10:57:21,12.856654663904,100.973109601725,0,,,120.26397957023,0.328084,0,3.09253290736,0.158932747868,26,5,8.408,120.26397957023,0,0,3.09672910172,0,0,0,302.1, 0.8, 1.9,,,0,0,1024,1024,1024,1024,0,0,0,0,311.9,0,0,88,4.207,4.198,0,0,0,0,1.296,103.46,120.26397957023,0,11,AutoTakeoff,
