time(millisecond),latitude,longitude,height_above_takeoff(feet),height_sonar(feet),compass_heading(degrees),roll(degrees),battery_percent,voltageCell1
182900,12.8566547921456,100.973109462191,0,0.656168,301.8,1.9,88,4.222
183000,12.8566547911636,100.973109458685,0,0.656168,301.8,1.9,88,4.222
183100,12.8566547887959,100.973109456616,0,0.328084,301.8,1.9,88,4.222
183200,12.8566547865405,100.973109455271,0,0.328084,301.8,1.9,88,4.222
183300,12.8566547893626,100.973109466203,0,0.328084,301.8,1.9,88,4.222
183400,12.8566547434323,100.973109511136,0,0.328084,301.8,1.9,88,4.222
183500,12.8566546897246,100.973109563074,0,0.328084,301.8,1.9,88,4.222
183600,12.8566546717303,100.973109580002,0,0.328084,301.8,1.9,88,4.222
183700,12.8566546537018,100.97310959676,0,0.328084,301.8,1.9,88,4.222
183800,12.8566545789692,100.973109675287,0,0.328084,301.8,1.9,88,4.222
183900,12.8566545800912,100.973109673354,0,0.328084,301.8,1.9,88,4.222
184000,12.8566545755674,100.973109676478,0,0.328084,301.8,1.9,88,4.222
184100,12.8566545880348,100.973109664101,0,0.328084,301.8,1.9,88,4.222
184200,12.8566546585024,100.973109605046,0,0.328084,301.8,1.9,88,4.207
184300,12.856654663904,100.973109601725,0,0.328084,302.1,1.9,88,4.207
184400,12.8566546696133,100.973109598759,0,0.328084,302.3,1.9,88,4.207
184500,12.8566546773842,100.973109600231,0,0.328084,302.4,1.8,88,4.207
184600,12.856654715042,100.973109589036,0,0.328084,302.2,0.5,88,4.207
184700,12.85665476036,100.973109594528,0,0.328084,302.3,-0.3,88,4.207
184800,12.8566548159339,100.973109588759,0,0.328084,302,0,88,4.207
184900,12.8566548662072,100.973109575152,0,0.656168,302.1,-0.3,88,4.207
185000,12.8566548921858,100.973109643385,0.328084,0.656168,302.1,-0.2,88,4.207
185100,12.8566549196006,100.973109682264,0.328084,0.984252,302.1,-0.3,88,4.207
185200,12.8566549614305,100.973109712906,0.656168,0.984252,302.1,-0.5,88,4.207
185300,12.856655006851,100.973109717743,0.984252,1.312336,302.1,-0.4,88,4.165
185400,12.8566550389232,100.973109722339,1.312336,1.64042,302.1,-0.3,88,4.165
185500,12.8566551089496,100.973109702743,1.64042,1.968504,302.1,-0.4,88,4.165
185600,12.8566550754997,100.97310971657,1.968504,2.296588,302.1,-0.5,88,4.165
185700,12.8566550329094,100.973109732743,2.296588,2.624672,302.2,-0.4,88,4.165
185800,12.8566550766657,100.973109746456,2.624672,2.952756,302.1,-0.3,88,4.165
185900,12.8566551477456,100.973109761671,2.624672,3.28084,301.9,-0.2,88,4.165
186000,12.8566551059874,100.973109776816,2.952756,3.608924,301.8,-0.1,88,4.165
186100,12.8566550251824,100.973109787224,3.28084,3.608924,301.8,0,88,4.165
186200,12.856654960004,100.973109791605,3.28084,3.937008,301.8,-0.1,88,4.165
186300,12.856654833552,100.973109725498,3.28084,3.937008,301.9,0,88,4.157
186400,12.8566549218967,100.973109665731,3.28084,3.937008,301.9,-0.1,88,4.157
186500,12.856655035751,100.973109568803,3.28084,3.937008,301.8,0,88,4.157
186600,12.8566551176373,100.973109465091,3.28084,3.937008,301.8,-0.1,88,4.157
186700,12.856655368478,100.973109395448,3.28084,3.937008,301.8,-0.3,88,4.157
186800,12.8566554790737,100.973109196859,3.28084,3.937008,301.8,-0.4,88,4.157
186900,12.8566556121437,100.973108924317,3.28084,3.937008,301.8,-0.4,88,4.157
187000,12.8566558943286,100.973108495063,3.28084,3.937008,301.8,-0.5,88,4.157
187100,12.8566563449793,100.973107824115,3.28084,3.937008,301.7,-0.5,88,4.157
187200,12.8566569069521,100.97310686761,3.28084,3.937008,301.7,-0.6,88,4.157
187300,12.8566576194435,100.973105721727,3.28084,3.937008,301.7,-0.6,88,4.161
187400,12.8566584104749,100.973104403103,3.28084,3.937008,301.7,-0.4,88,4.161
187500,12.8566593464165,100.973102839468,3.28084,3.937008,301.7,-0.7,88,4.161
187600,12.8566605692526,100.973100651395,3.28084,3.937008,301.8,-0.4,88,4.161
187700,12.8566616977415,100.973098754713,3.28084,3.937008,301.5,-0.6,88,4.161
187800,12.8566626874332,100.973097131052,2.952756,3.937008,301.4,-0.7,88,4.161
187900,12.8566635567943,100.973095726045,2.952756,3.937008,301.2,-0.8,88,4.161
188000,12.8566641969454,100.973094659251,2.952756,3.937008,301.6,-2.3,88,4.161
188100,12.8566642322387,100.97309438217,3.28084,3.937008,301.2,-11.2,88,4.161
188200,12.8566641162129,100.973094170397,3.28084,3.937008,302.2,-0.7,88,4.161
188300,12.8566641947324,100.973093712861,3.28084,3.937008,302,1.6,88,4.156
188400,12.8566640681192,100.973093745554,3.28084,3.937008,301.9,1.6,88,4.156
188500,12.856664239609,100.973093218005,3.28084,3.937008,301.2,1.4,88,4.156
188600,12.8566643330654,100.97309287502,3.28084,3.937008,301.6,1,88,4.156
188700,12.8566642245467,100.973092948881,3.28084,3.937008,301.7,0.7,88,4.156
188800,12.8566640716806,100.973093122434,3.28084,3.937008,301.7,0.2,88,4.156
188900,12.8566638022285,100.97309389608,3.28084,3.937008,302.1,-0.4,88,4.156
189000,12.8566637591708,100.973093971211,3.28084,3.937008,302,-0.3,88,4.156
189100,12.8566638357142,100.973093911242,3.28084,3.937008,301.9,-0.3,88,4.156
189200,12.8566641500161,100.973093567317,3.28084,3.937008,301.7,-0.2,88,4.156
189300,12.8566644569403,100.973093148137,3.28084,3.937008,301.8,-0.5,88,4.153
189400,12.8566649065155,100.973092432967,3.28084,3.937008,301.8,-0.6,88,4.153
189500,12.8566655575381,100.97309138645,3.28084,3.937008,301.9,-0.8,88,4.153
189600,12.8566661846673,100.973090299226,2.952756,3.937008,301.9,-0.8,88,4.153
189700,12.8566671681188,100.973088366626,2.952756,3.937008,301.9,-0.8,88,4.153
189800,12.8566681996901,100.973086638774,2.952756,3.937008,301.8,-0.7,88,4.153
189900,12.8566693793186,100.973084680388,2.952756,3.937008,301.7,-0.5,88,4.153
190000,12.8566704686304,100.973082870928,2.952756,3.608924,301.7,-0.7,88,4.153
190100,12.8566714979247,100.973081112584,2.952756,3.608924,301.7,-0.5,88,4.153
